noise,n,m,model,mse
1.0,1000,0,clean,98.08816886419437
1.0,1000,0,noisy,98.22226989735248
1.0,1000,0,two_stage,98.22226989735248
1.0,1000,1000,clean,303.49752195654725
1.0,1000,1000,noisy,181.04986717390912
1.0,1000,1000,two_stage,181.0498671739092
1.0,1000,5000,clean,97.7275143182221
1.0,1000,5000,noisy,97.8343641309882
1.0,1000,5000,two_stage,97.8343641309882
1.0,1000,10000,clean,92.06394647332635
1.0,1000,10000,noisy,95.29218666535884
1.0,1000,10000,two_stage,95.29218666535886
1.0,1000,30000,clean,4435.535393656643
1.0,1000,30000,noisy,328.4502875242924
1.0,1000,30000,two_stage,328.4502875242924
1.0,2000,0,clean,851.6383585440548
1.0,2000,0,noisy,207.20922404776397
1.0,2000,0,two_stage,207.20922404776363
1.0,2000,1000,clean,95.07933959502724
1.0,2000,1000,noisy,95.9605210831103
1.0,2000,1000,two_stage,95.9605210831103
1.0,2000,5000,clean,93.70421209135431
1.0,2000,5000,noisy,94.7545111936924
1.0,2000,5000,two_stage,94.75451119369238
1.0,2000,10000,clean,92.03820770026488
1.0,2000,10000,noisy,94.81253392096
1.0,2000,10000,two_stage,94.81253392096
1.0,2000,30000,clean,94.57070614434504
1.0,2000,30000,noisy,95.66565532396184
1.0,2000,30000,two_stage,95.66565532396184
1.0,5000,0,clean,95.39432801325486
1.0,5000,0,noisy,96.22417863266199
1.0,5000,0,two_stage,96.22417863266199
1.0,5000,1000,clean,102.80491365847463
1.0,5000,1000,noisy,103.71315307102603
1.0,5000,1000,two_stage,103.713153071026
1.0,5000,5000,clean,100.493195150027
1.0,5000,5000,noisy,99.35054825832782
1.0,5000,5000,two_stage,99.35054825832782
1.0,5000,10000,clean,96.04049198582771
1.0,5000,10000,noisy,96.67693865776421
1.0,5000,10000,two_stage,96.67693865776421
1.0,5000,30000,clean,92.28306151449527
1.0,5000,30000,noisy,95.51481806760931
1.0,5000,30000,two_stage,95.51481806760931
1.0,10000,0,clean,93.36941187102263
1.0,10000,0,noisy,95.58579993187931
1.0,10000,0,two_stage,95.58579993187931
1.0,10000,1000,clean,92.66001685317626
1.0,10000,1000,noisy,94.48503442709443
1.0,10000,1000,two_stage,94.48503442709443
1.0,10000,5000,clean,98.32126308092569
1.0,10000,5000,noisy,97.00021396444441
1.0,10000,5000,two_stage,97.00021396444441
1.0,10000,10000,clean,91.92246990272513
1.0,10000,10000,noisy,94.23632407900337
1.0,10000,10000,two_stage,94.23632407900337
1.0,10000,30000,clean,95.2871348615454
1.0,10000,30000,noisy,96.77752056493239
1.0,10000,30000,two_stage,96.77752056493239
3.0,1000,0,clean,98.08816886419437
3.0,1000,0,noisy,98.28507695375156
3.0,1000,0,two_stage,98.28507695375156
3.0,1000,1000,clean,303.49752195654725
3.0,1000,1000,noisy,138.40441902125403
3.0,1000,1000,two_stage,138.40441902125403
3.0,1000,5000,clean,97.7275143182221
3.0,1000,5000,noisy,97.98524482003059
3.0,1000,5000,two_stage,97.98524482003059
3.0,1000,10000,clean,92.06394647332635
3.0,1000,10000,noisy,98.6089009492276
3.0,1000,10000,two_stage,98.6089009492276
3.0,1000,30000,clean,4435.535393656643
3.0,1000,30000,noisy,161.04646783582066
3.0,1000,30000,two_stage,161.0464678358207
3.0,2000,0,clean,851.6383585440548
3.0,2000,0,noisy,134.35953027735886
3.0,2000,0,two_stage,134.35953027735883
3.0,2000,1000,clean,95.07933959502724
3.0,2000,1000,noisy,96.9079303389421
3.0,2000,1000,two_stage,96.9079303389421
3.0,2000,5000,clean,93.70421209135431
3.0,2000,5000,noisy,96.54461245032142
3.0,2000,5000,two_stage,96.54461245032142
3.0,2000,10000,clean,92.03820770026488
3.0,2000,10000,noisy,97.05115437934612
3.0,2000,10000,two_stage,97.0511543793461
3.0,2000,30000,clean,94.57070614434504
3.0,2000,30000,noisy,96.74573585893029
3.0,2000,30000,two_stage,96.74573585893029
3.0,5000,0,clean,95.39432801325486
3.0,5000,0,noisy,96.95857548074315
3.0,5000,0,two_stage,96.95857548074315
3.0,5000,1000,clean,102.80491365847463
3.0,5000,1000,noisy,104.13430031219217
3.0,5000,1000,two_stage,104.13430031219217
3.0,5000,5000,clean,100.493195150027
3.0,5000,5000,noisy,99.3842954213703
3.0,5000,5000,two_stage,99.38429542137028
3.0,5000,10000,clean,96.04049198582771
3.0,5000,10000,noisy,97.2798669095966
3.0,5000,10000,two_stage,97.2798669095966
3.0,5000,30000,clean,92.28306151449527
3.0,5000,30000,noisy,97.1981963837783
3.0,5000,30000,two_stage,97.1981963837783
3.0,10000,0,clean,93.36941187102263
3.0,10000,0,noisy,97.4580470986399
3.0,10000,0,two_stage,97.45804709863991
3.0,10000,1000,clean,92.66001685317626
3.0,10000,1000,noisy,96.28384496570287
3.0,10000,1000,two_stage,96.28384496570287
3.0,10000,5000,clean,98.32126308092569
3.0,10000,5000,noisy,98.10324854607907
3.0,10000,5000,two_stage,98.10324854607907
3.0,10000,10000,clean,91.92246990272513
3.0,10000,10000,noisy,96.29191982843898
3.0,10000,10000,two_stage,96.29191982843899
3.0,10000,30000,clean,95.2871348615454
3.0,10000,30000,noisy,97.60845891751353
3.0,10000,30000,two_stage,97.60845891751353
5.0,1000,0,clean,98.08816886419437
5.0,1000,0,noisy,98.29270271139008
5.0,1000,0,two_stage,98.29270271139008
5.0,1000,1000,clean,303.49752195654725
5.0,1000,1000,noisy,134.948683146769
5.0,1000,1000,two_stage,134.948683146769
5.0,1000,5000,clean,97.7275143182221
5.0,1000,5000,noisy,98.01894912539169
5.0,1000,5000,two_stage,98.01894912539169
5.0,1000,10000,clean,92.06394647332635
5.0,1000,10000,noisy,99.18783087970904
5.0,1000,10000,two_stage,99.18783087970904
5.0,1000,30000,clean,4435.535393656643
5.0,1000,30000,noisy,150.74261595296943
5.0,1000,30000,two_stage,150.74261595296943
5.0,2000,0,clean,851.6383585440548
5.0,2000,0,noisy,130.2151866546833
5.0,2000,0,two_stage,130.2151866546833
5.0,2000,1000,clean,95.07933959502724
5.0,2000,1000,noisy,97.08796380777864
5.0,2000,1000,two_stage,97.08796380777864
5.0,2000,5000,clean,93.70421209135431
5.0,2000,5000,noisy,96.8043786807555
5.0,2000,5000,two_stage,96.8043786807555
5.0,2000,10000,clean,92.03820770026488
5.0,2000,10000,noisy,97.40146244284016
5.0,2000,10000,two_stage,97.40146244284016
5.0,2000,30000,clean,94.57070614434504
5.0,2000,30000,noisy,96.93703977786465
5.0,2000,30000,two_stage,96.93703977786465
5.0,5000,0,clean,95.39432801325486
5.0,5000,0,noisy,97.07920815075116
5.0,5000,0,two_stage,97.07920815075116
5.0,5000,1000,clean,102.80491365847463
5.0,5000,1000,noisy,104.190603685442
5.0,5000,1000,two_stage,104.190603685442
5.0,5000,5000,clean,100.493195150027
5.0,5000,5000,noisy,99.5802286482117
5.0,5000,5000,two_stage,99.5802286482117
5.0,5000,10000,clean,96.04049198582771
5.0,5000,10000,noisy,97.3824634863118
5.0,5000,10000,two_stage,97.3824634863118
5.0,5000,30000,clean,92.28306151449527
5.0,5000,30000,noisy,97.39330775162612
5.0,5000,30000,two_stage,97.39330775162612
5.0,10000,0,clean,93.36941187102263
5.0,10000,0,noisy,97.78155582191786
5.0,10000,0,two_stage,97.78155582191786
5.0,10000,1000,clean,92.66001685317626
5.0,10000,1000,noisy,96.60038639076211
5.0,10000,1000,two_stage,96.60038639076211
5.0,10000,5000,clean,98.32126308092569
5.0,10000,5000,noisy,98.44565170898666
5.0,10000,5000,two_stage,98.44565170898666
5.0,10000,10000,clean,91.92246990272513
5.0,10000,10000,noisy,96.63849726042969
5.0,10000,10000,two_stage,96.63849726042969
5.0,10000,30000,clean,95.2871348615454
5.0,10000,30000,noisy,97.72077333019175
5.0,10000,30000,two_stage,97.72077333019175
10.0,1000,0,clean,98.08816886419437
10.0,1000,0,noisy,98.29618908953377
10.0,1000,0,two_stage,98.29618908953377
10.0,1000,1000,clean,303.49752195654725
10.0,1000,1000,noisy,133.81727702358882
10.0,1000,1000,two_stage,133.81727702358884
10.0,1000,5000,clean,97.7275143182221
10.0,1000,5000,noisy,98.0376873255756
10.0,1000,5000,two_stage,98.0376873255756
10.0,1000,10000,clean,92.06394647332635
10.0,1000,10000,noisy,99.47710912290388
10.0,1000,10000,two_stage,99.47710912290388
10.0,1000,30000,clean,4435.535393656643
10.0,1000,30000,noisy,146.1829369771669
10.0,1000,30000,two_stage,146.1829369771669
10.0,2000,0,clean,851.6383585440548
10.0,2000,0,noisy,128.8242812106077
10.0,2000,0,two_stage,128.82428121060784
10.0,2000,1000,clean,95.07933959502724
10.0,2000,1000,noisy,97.18097216119558
10.0,2000,1000,two_stage,97.18097216119558
10.0,2000,5000,clean,93.70421209135431
10.0,2000,5000,noisy,96.93437994677815
10.0,2000,5000,two_stage,96.93437994677815
10.0,2000,10000,clean,92.03820770026488
10.0,2000,10000,noisy,97.5728048758495
10.0,2000,10000,two_stage,97.5728048758495
10.0,2000,30000,clean,94.57070614434504
10.0,2000,30000,noisy,97.03355315003094
10.0,2000,30000,two_stage,97.03355315003094
10.0,5000,0,clean,95.39432801325486
10.0,5000,0,noisy,97.13596140831686
10.0,5000,0,two_stage,97.13596140831686
10.0,5000,1000,clean,102.80491365847463
10.0,5000,1000,noisy,104.21813352312594
10.0,5000,1000,two_stage,104.21813352312594
10.0,5000,5000,clean,100.493195150027
10.0,5000,5000,noisy,99.79195012975343
10.0,5000,5000,two_stage,99.79195012975343
10.0,5000,10000,clean,96.04049198582771
10.0,5000,10000,noisy,97.4333221638462
10.0,5000,10000,two_stage,97.4333221638462
10.0,5000,30000,clean,92.28306151449527
10.0,5000,30000,noisy,97.47410727462716
10.0,5000,30000,two_stage,97.47410727462716
10.0,10000,0,clean,93.36941187102263
10.0,10000,0,noisy,97.96288886676962
10.0,10000,0,two_stage,97.96288886676962
10.0,10000,1000,clean,92.66001685317626
10.0,10000,1000,noisy,96.7672630510309
10.0,10000,1000,two_stage,96.76726305103088
10.0,10000,5000,clean,98.32126308092569
10.0,10000,5000,noisy,98.67550088178118
10.0,10000,5000,two_stage,98.67550088178118
10.0,10000,10000,clean,91.92246990272513
10.0,10000,10000,noisy,96.81815654183383
10.0,10000,10000,two_stage,96.81815654183383
10.0,10000,30000,clean,95.2871348615454
10.0,10000,30000,noisy,97.77449951649486
10.0,10000,30000,two_stage,97.77449951649486
